,Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,text,clean_text,sentiment
0,1556334067104243712,"RT @NWCjam : Use a bucket of recycled water to wash your car. You'll use less water, and still get the job done. We continue to urge customers to #conserve as #everydropcounts! #wasteless #savemore #thetimetoconserveisnow https://t.co/Iv1NeFbi7i",Latoya A. Williams-(Mystique Boss)🇯🇲🇯🇲💚🔔🇺🇦,LATOYAW95274510,2022-08-07T17:38:51.000Z,Sun Aug 07 17:38:51 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,5,0,photo,https://pbs.twimg.com/media/FZk1JqZWAAI1yvT.jpg,,,"RT @NWCjam : Use a bucket of recycled water to wash your car. You'll use less water, and still get the job done. We continue to urge customers to #conserve as #everydropcounts! #wasteless #savemore #thetimetoconserveisnow https://t.co/Iv1NeFbi7i",rt nwcjam use bucket recycled water wash car use le water still get job done continue urge customer conserve everydropcounts wasteless savemore thetimetoconserveisnow http co iv nefbi,Neutral
1,1556324335090024448,Please help Renfrew Road citizens @julianjay @MayorWilliamsJA. This pothole was created by @NWCjam at the corner of Holborn Road/Renfrew Rd more than six months ago. Despite attempts pothole is still not patched. Please also pics of  signs that were recently defaced by some clown https://t.co/8Vl3VLwHBK,Ja Meridians,JaMeridians,2022-08-07T17:00:11.000Z,Sun Aug 07 17:00:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,3,photo,https://pbs.twimg.com/media/FZksutpWQAEP8Z9.jpg,https://pbs.twimg.com/media/FZksutmWAAI7lBY.jpg,https://pbs.twimg.com/media/FZksuuFXoAYTLVd.jpg,Please help Renfrew Road citizens @julianjay @MayorWilliamsJA. This pothole was created by @NWCjam at the corner of Holborn Road/Renfrew Rd more than six months ago. Despite attempts pothole is still not patched. Please also pics of  signs that were recently defaced by some clown https://t.co/8Vl3VLwHBK,please help renfrew road citizen julianjay mayorwilliamsja pothole created nwcjam corner holborn road renfrew rd six month ago despite attempt pothole still patched please also pic sign recently defaced clown http co vl vlwhbk,Positive
2,1556315604734328834,So seems part of Kingston water problem is that the Hope river has been dammed up in several places along Gordon town road to create swiming pools and water diverted. @themohwgovjm @NWCjam @NWA_JA @JamaicaConstab @wragovja,Robin Baston,bastonimacaroni,2022-08-07T16:25:29.000Z,Sun Aug 07 16:25:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,5,,,,,So seems part of Kingston water problem is that the Hope river has been dammed up in several places along Gordon town road to create swiming pools and water diverted. @themohwgovjm @NWCjam @NWA_JA @JamaicaConstab @wragovja,seems part kingston water problem hope river dammed several place along gordon town road create swiming pool water diverted themohwgovjm nwcjam nwa ja jamaicaconstab wragovja,Positive
3,1556063613697368066,"RT @NWCjam : #NWCNewstream | EMERGENCY LEAK REPAIR WORK DISRUPTS WATER SUPPLY | SOME SECTIONS OF NORBROOK AFFECTED | Estimated Restoration time : 7pm today, August 6, 2022.

See full release : https://t.co/El9A0AL9Xt",Hold My Hand,rideinthislife,2022-08-06T23:44:10.000Z,Sat Aug 06 23:44:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FZg_hYQWAAEQ8UU.jpg,https://pbs.twimg.com/media/FZg_hX0X0AUi4wN.png,,"RT @NWCjam : #NWCNewstream | EMERGENCY LEAK REPAIR WORK DISRUPTS WATER SUPPLY | SOME SECTIONS OF NORBROOK AFFECTED | Estimated Restoration time : 7pm today, August 6, 2022.

See full release : https://t.co/El9A0AL9Xt",rt nwcjam nwcnewstream emergency leak repair work disrupts water supply section norbrook affected estimated restoration time pm today august see full release http co el al xt,Negative
4,1556034287526453249,@NWCjam big big holiday and no water... Do better!!,Kami,Kami_songz,2022-08-06T21:47:38.000Z,Sat Aug 06 21:47:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,1,,,,,@NWCjam big big holiday and no water... Do better!!,nwcjam big big holiday water better,Positive
5,1555993161608069122,"RT @NWCjam : Happy 60th Independence Day Jamaica! We are a nation born for greatness. For the past sixty years, we’ve remained ‘triumphant’. #REIGNITEDFORGREATNESS https://t.co/gkC2iKsmnJ",Rosie Sears,Mamadvr,2022-08-06T19:04:13.000Z,Sat Aug 06 19:04:13 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,video,https://video.twimg.com/ext_tw_video/1555991872212017155/pu/vid/540x540/CF-59TKcsNuDAcYG.mp4?tag=12,,,"RT @NWCjam : Happy 60th Independence Day Jamaica! We are a nation born for greatness. For the past sixty years, we’ve remained ‘triumphant’. #REIGNITEDFORGREATNESS https://t.co/gkC2iKsmnJ",rt nwcjam happy th independence day jamaica nation born greatness past sixty year remained triumphant reignitedforgreatness http co gkc iksmnj,Positive
6,1555965469038968845,@NWCjam Duncans and Spicy Hill.. they are not listed as areas which will be affected and we have been without water since Wednesday,Aries_Empress🇯🇲♈,SavageariesE,2022-08-06T17:14:10.000Z,Sat Aug 06 17:14:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,@NWCjam Duncans and Spicy Hill.. they are not listed as areas which will be affected and we have been without water since Wednesday,nwcjam duncan spicy hill listed area affected without water since wednesday,Negative
7,1555917462016860164,@NWCjam So we are suppose to go without water for the entire holiday weekend,Aries_Empress🇯🇲♈,SavageariesE,2022-08-06T14:03:25.000Z,Sat Aug 06 14:03:25 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,@NWCjam So we are suppose to go without water for the entire holiday weekend,nwcjam suppose go without water entire holiday weekend,Negative
8,1555917239131557890,@NWCjam What about Trelawny area.. I am yet to see anything about Trelawny. Kmt,Aries_Empress🇯🇲♈,SavageariesE,2022-08-06T14:02:32.000Z,Sat Aug 06 14:02:32 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,@NWCjam What about Trelawny area.. I am yet to see anything about Trelawny. Kmt,nwcjam trelawny area yet see anything trelawny kmt,Neutral
9,1555909494114324481,"JPS &amp; @NWCjam a di biggest scammers a JA! 
Water just connect at the house in July, and these criminals are sending a bill with ""overdue"" balance. Keep in mind, this is the first bill!!! @NWCjam unnu fi do better.",🖤🇯🇲♥,Yaardiegurl,2022-08-06T13:31:45.000Z,Sat Aug 06 13:31:45 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,2,,,,,"JPS &amp; @NWCjam a di biggest scammers a JA! 
Water just connect at the house in July, and these criminals are sending a bill with ""overdue"" balance. Keep in mind, this is the first bill!!! @NWCjam unnu fi do better.",jps amp nwcjam di biggest scammer ja water connect house july criminal sending bill overdue balance keep mind first bill nwcjam unnu fi better,Negative
10,1555908847834988548,@neeki876 @NWCjam Blame windalco 😅,MEECH OUT 💥,NigelBigMeech,2022-08-06T13:29:11.000Z,Sat Aug 06 13:29:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,@neeki876 @NWCjam Blame windalco 😅,neeki nwcjam blame windalco,Negative
11,1555679309217529857,RT @ccrpjamaica : A reminder that we are in the hurricane season! Here’s a tip from @NWCjam … https://t.co/XyoJE3fKsX,CCRP,ccrpjamaica,2022-08-05T22:17:05.000Z,Fri Aug 05 22:17:05 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FZWPV_LXEAYF7KA.jpg,,,RT @ccrpjamaica : A reminder that we are in the hurricane season! Here’s a tip from @NWCjam … https://t.co/XyoJE3fKsX,rt ccrpjamaica reminder hurricane season tip nwcjam http co xyoje fksx,Neutral
12,1555667035396493312,"RT @NWCjam : PM Andrew Holness officially commissioned the Sandy Ground to Black River Pipeline Replacement Project. He was joined by NWC President Mark Barnett; Matthew Samuda, Minister without Portfolio in the MEGJC; and Floyd Green, MP for St Elizabeth SW. https://t.co/JeJhPXAuNP",Caribbean disaster,BagalueSunab,2022-08-05T21:28:18.000Z,Fri Aug 05 21:28:18 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FZbWpOBWQAMKK0S.jpg,,,"RT @NWCjam : PM Andrew Holness officially commissioned the Sandy Ground to Black River Pipeline Replacement Project. He was joined by NWC President Mark Barnett; Matthew Samuda, Minister without Portfolio in the MEGJC; and Floyd Green, MP for St Elizabeth SW. https://t.co/JeJhPXAuNP",rt nwcjam pm andrew holness officially commissioned sandy ground black river pipeline replacement project joined nwc president mark barnett matthew samuda minister without portfolio megjc floyd green mp st elizabeth sw http co jejhpxaunp,Neutral
13,1555657244011909120,"Visit the link:

https://t.co/y4m0S7GvyG

@AndrewHolnessJM @NWCjam @nepajamaica @jamentrust

#OTHaveYourSay #WINDALCO #PicCobre #Pollution #Prosecution #NaturalResources #ConservationAuthority #NaturalResourcesConservationAuthority",OUR TODAY,Our_Today_News,2022-08-05T20:49:24.000Z,Fri Aug 05 20:49:24 +0000 2022,0,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,http://bit.ly/3BOv3ID ,8,4,,,,,"Visit the link:

https://t.co/y4m0S7GvyG

@AndrewHolnessJM @NWCjam @nepajamaica @jamentrust

#OTHaveYourSay #WINDALCO #PicCobre #Pollution #Prosecution #NaturalResources #ConservationAuthority #NaturalResourcesConservationAuthority",visit link http co gvyg andrewholnessjm nwcjam nepajamaica jamentrust othaveyoursay windalco piccobre pollution prosecution naturalresources conservationauthority naturalresourcesconservationauthority,Negative
14,1555647420972912641,"@Stormy_Simpson @NWCjam Hey Lynkie, we apologize for the delay in having your issue resolved. Please send us a DM with your full name and contact number so a representative can reach out to you urgently.",LynkJamaica,lynkjamaica,2022-08-05T20:10:22.000Z,Fri Aug 05 20:10:22 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,"@Stormy_Simpson @NWCjam Hey Lynkie, we apologize for the delay in having your issue resolved. Please send us a DM with your full name and contact number so a representative can reach out to you urgently.",stormy simpson nwcjam hey lynkie apologize delay issue resolved please send u dm full name contact number representative reach urgently,Positive
15,1555645314035597312,@lynkjamaica Can I get an update on whether or not you guys applied sent my pmt over to @NWCjam . It's been 2 days and I've not gotten any email nor have I heard from a supervisor.,Cabbage Patch Dolly,Stormy_Simpson,2022-08-05T20:02:00.000Z,Fri Aug 05 20:02:00 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,2,,,,,@lynkjamaica Can I get an update on whether or not you guys applied sent my pmt over to @NWCjam . It's been 2 days and I've not gotten any email nor have I heard from a supervisor.,lynkjamaica get update whether guy applied sent pmt nwcjam day gotten email heard supervisor,Neutral
16,1555622985893117952,@NWCjam ... pure silence ... still no feedback ... does this mean no water in pipes until next week ... 😡😠😟,Penfield,penfieldja,2022-08-05T18:33:16.000Z,Fri Aug 05 18:33:16 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,@NWCjam ... pure silence ... still no feedback ... does this mean no water in pipes until next week ... 😡😠😟,nwcjam pure silence still feedback mean water pipe next week,Neutral
17,1555612468323487744,@NWCjam Saw a bill increase amount of $12k over 2 days while contesting my water bill 3 days ago. Still NO email REPLY. Water main break in news but no leaks at home. WTH!,Carlitaishere,carlitaishere,2022-08-05T17:51:28.000Z,Fri Aug 05 17:51:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,1,,,,,@NWCjam Saw a bill increase amount of $12k over 2 days while contesting my water bill 3 days ago. Still NO email REPLY. Water main break in news but no leaks at home. WTH!,nwcjam saw bill increase amount day contesting water bill day ago still email reply water main break news leak home wth,Negative
18,1555592593257406464,so nobody nuh work a @nwcjam?,leaandra of House Renaissance. 🤍,iamleaandra,2022-08-05T16:32:30.000Z,Fri Aug 05 16:32:30 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,so nobody nuh work a @nwcjam?,nobody nuh work nwcjam,Neutral
19,1555589855912017920,@NWCjam How can I report an outage without calling because apparently nobody is available to answer phone calls?,leaandra of House Renaissance. 🤍,iamleaandra,2022-08-05T16:21:37.000Z,Fri Aug 05 16:21:37 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,@NWCjam How can I report an outage without calling because apparently nobody is available to answer phone calls?,nwcjam report outage without calling apparently nobody available answer phone call,Neutral
20,1555555087719829506,@NWCjam ... Day #3 without water in the pipes ... Braemar and Lady Musgrave Avenue area ... problems with Mona treatment plant ... frustrated ... annoyed ...,Penfield,penfieldja,2022-08-05T14:03:28.000Z,Fri Aug 05 14:03:28 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,,,,,@NWCjam ... Day #3 without water in the pipes ... Braemar and Lady Musgrave Avenue area ... problems with Mona treatment plant ... frustrated ... annoyed ...,nwcjam day without water pipe braemar lady musgrave avenue area problem mona treatment plant frustrated annoyed,Negative
21,1555552160720556034,Let me use this opportunity to remind Ja the @NWCjam is not interested in being a reliable supplier of the vital commodity. If they were then our nation roads would be used as conduits channeling water to small catchment in communities for treatment etc. https://t.co/BBfXfXQE8T,Stephan Martin 🇯🇲🇯🇲🇯🇲,stephan0523,2022-08-05T13:51:50.000Z,Fri Aug 05 13:51:50 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/elmingo85/status/1555521534806167552 ,0,1,,,,,Let me use this opportunity to remind Ja the @NWCjam is not interested in being a reliable supplier of the vital commodity. If they were then our nation roads would be used as conduits channeling water to small catchment in communities for treatment etc. https://t.co/BBfXfXQE8T,let use opportunity remind ja nwcjam interested reliable supplier vital commodity nation road would used conduit channeling water small catchment community treatment etc http co bbfxfxqe,Positive
22,1555543931877818369,RT @elmingo85 : It's modern day @NWCjam I am tired of using pan to bathe and still paying bills over 2 weeks now come on @TheOURja set some standards for NWC we are paying customers. No mention or communication of the water lock off or low pressure. Do better man,Claude Russell,JackReb65,2022-08-05T13:19:08.000Z,Fri Aug 05 13:19:08 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,2,,,,,RT @elmingo85 : It's modern day @NWCjam I am tired of using pan to bathe and still paying bills over 2 weeks now come on @TheOURja set some standards for NWC we are paying customers. No mention or communication of the water lock off or low pressure. Do better man,rt elmingo modern day nwcjam tired using pan bathe still paying bill week come theourja set standard nwc paying customer mention communication water lock low pressure better man,Negative
